      UTCTime       Week   GPSTime         Latitude        Longitude        H-Ell VelBdyX VelBdyY VelBdyZ AccBdyX AccBdyY AccBdyZ           Roll          Pitch        Heading Q
        (sec)    (weeks)     (sec)       (+/-D M S)       (+/-D M S)          (m)   (m/s)   (m/s)   (m/s) (m/s^2) (m/s^2) (m/s^2)          (deg)          (deg)          (deg)  
1621308088.00 2158.00000 184906.00   22 19 09.66304  114 10 04.99162        7.555  -0.000  -0.004  -0.020  -0.307  -0.134  -0.035   1.2397775363   0.5030282962 167.9842354473 2
1621308089.00 2158.00000 184907.00   22 19 09.66033  114 10 04.99212        7.550   0.001   0.274  -0.020  -0.164   0.532   0.008   1.2200162219   0.5613095632 167.9921537240 2
1621308090.00 2158.00000 184908.00   22 19 09.64361  114 10 04.99539        7.544   0.033   0.847  -0.041   0.221   0.737   0.173   1.2404593560   0.5229385796 168.0302382286 2
1621308091.00 2158.00000 184909.00   22 19 09.59448  114 10 05.00492        7.536   0.062   2.316  -0.039   0.029   1.319  -0.079   1.3531257769   0.6396386233 168.2384854688 2
1621308092.00 2158.00000 184910.00   22 19 09.49902  114 10 05.02310        7.526   0.131   3.561  -0.087   0.457   0.770  -0.382   1.4605897409   0.4730511444 168.5696035082 2
1621308093.00 2158.00000 184911.00   22 19 09.36751  114 10 05.04839        7.510   0.132   4.686  -0.076   0.307   1.040   0.440   1.5368332347   0.3980853465 168.3449238384 2
1621308094.00 2158.00000 184912.00   22 19 09.20340  114 10 05.08025        7.524   0.200   5.588  -0.135   0.375   0.228  -0.746   1.5683688318   0.6409392375 168.4205428082 2
1621308095.00 2158.00000 184913.00   22 19 09.00980  114 10 05.11787        7.548   0.145   6.465  -0.061  -0.179  -0.324   0.636   1.1622391578   0.3672201101 168.5141182753 2
1621308096.00 2158.00000 184914.00   22 19 08.79132  114 10 05.16046        7.561   0.147   7.155  -0.051  -1.416  -1.884   0.201   0.9270858196   0.3551822668 168.1866442475 2
1621308097.00 2158.00000 184915.00   22 19 08.55375  114 10 05.20946        7.517   0.178   7.654  -0.062  -1.099  -1.827  -0.303   0.6581795376  -0.1130503026 167.4616005353 2
1621308098.00 2158.00000 184916.00   22 19 08.29822  114 10 05.26163        7.463   0.167   8.221  -0.152   2.012  -0.804  -0.671   1.8104435002   0.2288393434 167.9618786341 2
1621308099.00 2158.00000 184917.00   22 19 08.02674  114 10 05.31659        7.426   0.248   8.674  -0.087  -0.631  -1.435  -0.421   1.3608148705   0.3277433180 168.0260556367 2
1621308100.00 2158.00000 184918.00   22 19 07.74545  114 10 05.37411        7.393   0.220   8.894  -0.059   0.929  -2.173  -2.305   0.8573453967  -0.4064849078 167.7942483720 2
1621308101.00 2158.00000 184919.00   22 19 07.46267  114 10 05.43241        7.334   0.247   8.935  -0.113  -0.430   1.265   1.178   1.2355834852   0.3919203206 167.6681518204 2
1621308102.00 2158.00000 184920.00   22 19 07.18268  114 10 05.48993        7.264   0.252   8.693  -0.020  -1.895  -1.043   1.332   1.4077229252  -0.1213180835 167.7760455028 3
1621308103.00 2158.00000 184921.00   22 19 06.90914  114 10 05.54679        7.235   0.165   8.516  -0.015   0.970  -2.877  -0.790   1.3335707273  -0.0485352548 167.6053499165 3
1621308104.00 2158.00000 184922.00   22 19 06.64224  114 10 05.60221        7.195   0.149   8.260  -0.093  -0.591  -2.512   0.107   1.6038177306   0.4564812050 167.6679913922 3
1621308105.00 2158.00000 184923.00   22 19 06.38208  114 10 05.65606        7.199   0.233   8.038  -0.097   0.715  -0.841   1.868   1.4771138437   0.8391711755 167.8282763354 3
1621308106.00 2158.00000 184924.00   22 19 06.12928  114 10 05.70814        7.245   0.217   7.849  -0.058   3.272  -0.519  -3.265   1.2230700870   0.3845463538 167.8791263397 3
1621308107.00 2158.00000 184925.00   22 19 05.88045  114 10 05.76022        7.241   0.193   7.725  -0.055   0.835  -2.055   0.704   0.5898772388   0.5699669554 167.6565093180 3
1621308108.00 2158.00000 184926.00   22 19 05.62865  114 10 05.81328        7.255   0.198   7.944  -0.067  -0.794  -1.272  -0.481   0.7375914880  -0.2243301655 167.5932834253 3
1621308109.00 2158.00000 184927.00   22 19 05.37253  114 10 05.86739        7.223   0.208   7.909  -0.086   0.447   0.143   0.141   1.0834288131   0.1549678948 167.7165266471 3
1621308110.00 2158.00000 184928.00   22 19 05.12024  114 10 05.92018        7.285   0.183   7.746  -0.083   1.533   1.096   0.039   0.8022841526   0.8951033154 167.9363533643 3
1621308111.00 2158.00000 184929.00   22 19 04.87441  114 10 05.97207        7.408   0.147   7.532  -0.085  -0.358   1.826  -0.070   0.4613341575   0.6321214171 167.6479951652 3
1621308112.00 2158.00000 184930.00   22 19 04.64349  114 10 06.02252        7.473   0.169   6.668  -0.010   0.575  -2.835  -0.067   0.8124312352   0.2892978499 167.3048335529 3
1621308113.00 2158.00000 184931.00   22 19 04.44432  114 10 06.06676        7.567   0.138   5.621  -0.023  -0.109  -2.360  -1.196   0.6912735798   0.1057794681 167.4326489779 4
1621308114.00 2158.00000 184932.00   22 19 04.27962  114 10 06.10277        7.688   0.101   4.516   0.003   0.142   0.852  -1.561   1.3925051661   0.1469235674 167.4668774766 4
1621308115.00 2158.00000 184933.00   22 19 04.14332  114 10 06.13306        7.832   0.101   3.981  -0.040   0.275   0.182  -0.030   1.6603170987   0.3964810647 167.5003611301 4
1621308116.00 2158.00000 184934.00   22 19 04.01645  114 10 06.16132        7.995   0.104   3.749  -0.024  -0.840  -0.458   0.284   2.1056829225   0.4088626826 167.4171103625 4
1621308117.00 2158.00000 184935.00   22 19 03.88536  114 10 06.19030        8.179   0.098   4.324  -0.035   0.316   0.228   0.142   2.3169553798   0.4645427211 167.5009283583 4
1621308118.00 2158.00000 184936.00   22 19 03.73622  114 10 06.22352        8.380   0.129   4.844  -0.030   0.116   0.579  -0.684   2.2480858529   0.5351540398 167.3482351059 4
1621308119.00 2158.00000 184937.00   22 19 03.57776  114 10 06.25957        8.586   0.100   4.784  -0.028   0.551  -1.271   0.366   1.9959271272  -0.0450803193 167.1132937620 4
1621308120.00 2158.00000 184938.00   22 19 03.43515  114 10 06.29216        8.807   0.031   3.966  -0.046   0.400  -1.010   1.534   2.2375663477   0.3921896108 166.9552318951 4
1621308121.00 2158.00000 184939.00   22 19 03.32506  114 10 06.31807        9.080   0.071   2.842   0.012   0.326  -1.368  -0.211   2.1376826153   0.1307546984 166.9036599640 4
1621308122.00 2158.00000 184940.00   22 19 03.24876  114 10 06.33656        9.359   0.058   1.957  -0.018   0.092  -0.823   0.284   1.9123612328   0.2667290424 166.9329151890 4
1621308123.00 2158.00000 184941.00   22 19 03.19568  114 10 06.34957        9.656   0.021   1.340  -0.007  -0.693   0.040   0.085   1.9381615223   0.3293819773 166.9242176896 4
1621308124.00 2158.00000 184942.00   22 19 03.15753  114 10 06.35923        9.927   0.031   1.094   0.004  -0.252  -0.076   0.183   1.7916218366   0.3181176270 166.9598442053 2
1621308125.00 2158.00000 184943.00   22 19 03.12163  114 10 06.36734       10.034   0.046   1.351   0.012   0.193  -0.019   0.387   1.8404206521   0.3337765636 166.9514274553 2
1621308126.00 2158.00000 184944.00   22 19 03.07861  114 10 06.37699       10.134   0.029   1.543  -0.012  -0.247   0.029   0.091   1.8801438160   0.4864583568 166.9895176896 2
1621308127.00 2158.00000 184945.00   22 19 03.03136  114 10 06.38758       10.214   0.035   1.530   0.001   0.199  -0.086   0.013   1.7963716568   0.3338109410 166.9088223137 2
1621308128.00 2158.00000 184946.00   22 19 02.99168  114 10 06.39601       10.269   0.024   1.168   0.012   0.230   0.307  -0.067   2.0152300753   0.3643667802 166.8855602272 2
1621308129.00 2158.00000 184947.00   22 19 02.95310  114 10 06.40423       10.283   0.038   1.416   0.011  -0.200   0.353  -0.018   1.8857530728   0.3665554790 166.8673860059 2
1621308130.00 2158.00000 184948.00   22 19 02.90779  114 10 06.41357       10.264   0.018   1.568  -0.017   0.284   0.146  -0.089   1.7984686823   0.4119566547 166.8253996587 2
1621308131.00 2158.00000 184949.00   22 19 02.85766  114 10 06.42399       10.179   0.032   1.680   0.008  -0.431   0.207   0.179   1.5916882140   0.2951248307 166.6257295967 2
1621308132.00 2158.00000 184950.00   22 19 02.80587  114 10 06.43485       10.011   0.020   1.759  -0.003  -0.157   0.224   0.280   1.1324167046   0.4568020613 166.4273601489 2
1621308133.00 2158.00000 184951.00   22 19 02.76103  114 10 06.43481        8.796   0.059   1.697  -0.000   0.132  -0.312   0.211   1.2298481777   0.4154173198 166.2523960270 3
1621308134.00 2158.00000 184952.00   22 19 02.73429  114 10 06.42928        8.006   0.052   0.547   0.010  -0.284  -1.021  -0.063   1.3002475020   0.4083584797 166.1413396175 2
1621308135.00 2158.00000 184953.00   22 19 02.73290  114 10 06.42300        7.727   0.005   0.003   0.013   0.349  -0.129  -0.189   1.3929406141   0.4076422825 166.1605337037 2
1621308136.00 2158.00000 184954.00   22 19 02.73385  114 10 06.42105        7.711  -0.001  -0.005   0.011  -0.376  -0.079   0.028   1.4083703675   0.4039409751 166.1571188752 2
1621308137.00 2158.00000 184955.00   22 19 02.73397  114 10 06.42026        7.764   0.003  -0.004   0.011   0.464  -0.086   0.035   1.4082385872   0.4062958317 166.1564828921 2
1621308138.00 2158.00000 184956.00   22 19 02.73505  114 10 06.41808        7.686   0.003  -0.005   0.009  -0.532  -0.004  -0.050   1.4102038324   0.4075162318 166.1569412583 2
1621308139.00 2158.00000 184957.00   22 19 02.73504  114 10 06.41807        7.686   0.000  -0.002   0.006   0.301   0.040   0.061   1.4092985591   0.4094356404 166.1565000808 2
1621308140.00 2158.00000 184958.00   22 19 02.73505  114 10 06.41807        7.686   0.003  -0.003   0.003   0.123   0.052   0.036   1.4112981818   0.4122603223 166.1574340020 2
1621308141.00 2158.00000 184959.00   22 19 02.73505  114 10 06.41806        7.686   0.002  -0.002   0.002  -0.676  -0.087  -0.000   1.4113726663   0.4129822492 166.1573365992 2
1621308142.00 2158.00000 184960.00   22 19 02.73505  114 10 06.41806        7.686  -0.001  -0.000   0.001   0.075  -0.160   0.006   1.4115846607   0.4122603223 166.1582418725 2
1621308143.00 2158.00000 184961.00   22 19 02.73505  114 10 06.41805        7.686   0.004  -0.002   0.002   0.420  -0.097   0.076   1.4119169762   0.4131827844 166.1592216303 2
1621308144.00 2158.00000 184962.00   22 19 02.73505  114 10 06.41805        7.686   0.002  -0.003   0.001   0.452   0.117   0.037   1.4107481423   0.4168497143 166.1585340810 2
1621308145.00 2158.00000 184963.00   22 19 02.73505  114 10 06.41804        7.686  -0.003  -0.002   0.000   0.153  -0.178   0.057   1.4135957426   0.4149131169 166.1593935177 2
1621308146.00 2158.00000 184964.00   22 19 02.73505  114 10 06.41804        7.686   0.002  -0.004   0.001  -0.361  -0.169  -0.063   1.4126675509   0.4152683508 166.1590612021 2
1621308147.00 2158.00000 184965.00   22 19 02.73505  114 10 06.41803        7.686  -0.006  -0.001   0.003  -0.175  -0.105  -0.015   1.4125472298   0.4143344295 166.1598862614 2
1621308148.00 2158.00000 184966.00   22 19 02.73505  114 10 06.41803        7.686  -0.005  -0.004   0.006   0.365   0.091  -0.080   1.4185174500   0.4218802837 166.1606081882 3
1621308149.00 2158.00000 184967.00   22 19 02.73505  114 10 06.41802        7.686  -0.005   0.002   0.005   0.437   0.189   0.071   1.4161052977   0.4285609716 166.1617025376 3
1621308150.00 2158.00000 184968.00   22 19 02.73505  114 10 06.41802        7.686   0.001   0.001   0.004   0.462   0.069  -0.057   1.4126618214   0.4232210050 166.1615822164 3
1621308151.00 2158.00000 184969.00   22 19 02.73506  114 10 06.41801        7.686   0.002   0.000   0.006  -0.375  -0.027  -0.050   1.4148906272   0.4192332187 166.1623786278 3
1621308152.00 2158.00000 184970.00   22 19 02.73506  114 10 06.41801        7.686   0.005  -0.000   0.002  -0.162   0.019  -0.011   1.4148562497   0.4191701933 166.1615191911 3
1621308153.00 2158.00000 184971.00   22 19 02.73506  114 10 06.41800        7.686   0.005   0.000   0.001  -0.318  -0.093  -0.035   1.4136816862   0.4173481876 166.1602357656 4
1621308154.00 2158.00000 184972.00   22 19 02.73506  114 10 06.41800        7.686   0.003  -0.000   0.002  -0.377  -0.109  -0.108   1.4170621372   0.4173080805 166.1613702220 4
1621308155.00 2158.00000 184973.00   22 19 02.73506  114 10 06.41799        7.686   0.005   0.001  -0.001   0.002   0.007  -0.037   1.4154177484   0.4188665257 166.1620176644 4
1621308156.00 2158.00000 184974.00   22 19 02.73506  114 10 06.41799        7.686  -0.000   0.001   0.001  -0.211  -0.054  -0.043   1.4140082722   0.4149131169 166.1629000194 4
1621308157.00 2158.00000 184975.00   22 19 02.73506  114 10 06.41798        7.686  -0.002   0.004   0.001  -0.073  -0.057   0.034   1.4154635850   0.4158069311 166.1622411179 4
1621308158.00 2158.00000 184976.00   22 19 02.73506  114 10 06.41798        7.686   0.004   0.001   0.002  -0.196  -0.006  -0.039   1.4158589259   0.4152798099 166.1631521208 4
1621308159.00 2158.00000 184977.00   22 19 02.73506  114 10 06.41797        7.686  -0.002   0.002   0.003  -0.254   0.013   0.051   1.4157386047   0.4160876804 166.1628427236 4
1621308160.00 2158.00000 184978.00   22 19 02.73506  114 10 06.41797        7.686  -0.003   0.001   0.005   0.105   0.100   0.006   1.4147072807   0.4131254886 166.1630719067 4
1621308161.00 2158.00000 184979.00   22 19 02.73506  114 10 06.41796        7.686  -0.001   0.001   0.002   0.172  -0.169   0.054   1.4154292075   0.4099570320 166.1641376082 4
1621308162.00 2158.00000 184980.00   22 19 02.73507  114 10 06.41796        7.686  -0.002  -0.001   0.002   0.327   0.063  -0.031   1.4127764129   0.4116357983 166.1625275968 4
1621308163.00 2158.00000 184981.00   22 19 02.73507  114 10 06.41795        7.686  -0.003  -0.004   0.001   0.434  -0.091   0.074   1.4138077370   0.4090288404 166.1625791630 4
1621308164.00 2158.00000 184982.00   22 19 02.73507  114 10 06.41795        7.686  -0.003  -0.002   0.001   0.564  -0.027   0.005   1.4110346212   0.4109310602 166.1629745039 4
1621308165.00 2158.00000 184983.00   22 19 02.73507  114 10 06.41794        7.686  -0.002  -0.001   0.001   0.558   0.229   0.016   1.4130743510   0.4136526098 166.1631750391 4
1621308166.00 2158.00000 184984.00   22 19 02.73507  114 10 06.41794        7.686   0.000  -0.001   0.001   0.191  -0.120   0.035   1.4114872579   0.4110972180 166.1633813039 5
1621308167.00 2158.00000 184985.00   22 19 02.73507  114 10 06.41793        7.686   0.000   0.001   0.002  -0.003  -0.060  -0.058   1.4124326382   0.4111717025 166.1639370730 5
1621308168.00 2158.00000 184986.00   22 19 02.73507  114 10 06.41793        7.686  -0.001  -0.002   0.000  -0.333   0.114  -0.033   1.4119971903   0.4108393870 166.1638568589 5
1621308169.00 2158.00000 184987.00   22 19 02.73507  114 10 06.41792        7.686   0.001   0.002   0.000  -0.373  -0.038  -0.024   1.4126732805   0.4094642883 166.1642178223 5
1621308170.00 2158.00000 184988.00   22 19 02.73507  114 10 06.41792        7.686  -0.001   0.001   0.001  -0.308   0.062  -0.061   1.4096652521   0.4086449586 166.1640230166 5
1621308171.00 2158.00000 184989.00   22 19 02.73507  114 10 06.41791        7.686  -0.001  -0.001   0.001  -0.561   0.010  -0.056   1.4108398156   0.4079459501 166.1639428025 5
1621308172.00 2158.00000 184990.00   22 19 02.73507  114 10 06.41791        7.686   0.001   0.001  -0.001  -0.252  -0.186  -0.086   1.4092985591   0.4066166880 166.1641662561 5
1621308173.00 2158.00000 184991.00   22 19 02.73507  114 10 06.41791        7.686   0.000   0.000  -0.002  -0.129   0.206  -0.011   1.4074765533   0.4107076067 166.1638110223 5
1621308174.00 2158.00000 184992.00   22 19 02.73508  114 10 06.41790        7.686   0.001  -0.000  -0.001  -0.002  -0.245  -0.051   1.4090808351   0.4058890316 166.1640344758 5
1621308175.00 2158.00000 184993.00   22 19 02.73508  114 10 06.41790        7.686   0.000  -0.002  -0.002  -0.028   0.065  -0.087   1.4082786942   0.4081808628 166.1635073546 5
1621308176.00 2158.00000 184994.00   22 19 02.73508  114 10 06.41789        7.686   0.001  -0.002  -0.002  -0.064  -0.089  -0.084   1.4085193365   0.4083699389 166.1636047574 5
1621308177.00 2158.00000 184995.00   22 19 02.73508  114 10 06.41789        7.686  -0.000  -0.000  -0.002   0.236  -0.000  -0.109   1.4074880125   0.4107820912 166.1635703800 5
1621308178.00 2158.00000 184996.00   22 19 02.73508  114 10 06.41788        7.686  -0.001  -0.002   0.001   0.216   0.040  -0.003   1.4085136069   0.4091548911 166.1632323349 5
1621308179.00 2158.00000 184997.00   22 19 02.73508  114 10 06.41788        7.686  -0.001  -0.002   0.001   0.086  -0.319  -0.015   1.4078145984   0.4046342541 166.1630719067 5
1621308180.00 2158.00000 184998.00   22 19 02.73508  114 10 06.41787        7.686  -0.001  -0.004  -0.000   0.168   0.116   0.021   1.4103012352   0.4106388518 166.1633870335 5
1621308181.00 2158.00000 184999.00   22 19 02.73508  114 10 06.41787        7.686   0.001  -0.004  -0.000   0.196  -0.110  -0.023   1.4089662436   0.4130510041 166.1635073546 5
1621308182.00 2158.00000 185000.00   22 19 02.73508  114 10 06.41786        7.686   0.001  -0.002  -0.001   0.212   0.132   0.010   1.4080208632   0.4145005873 166.1643954392 5
1621308183.00 2158.00000 185001.00   22 19 02.73508  114 10 06.41786        7.686   0.007  -0.001  -0.000   0.127   0.009  -0.008   1.4085823619   0.4130681928 166.1634099518 5
1621308184.00 2158.00000 185002.00   22 19 02.73508  114 10 06.41785        7.686   0.005  -0.002   0.002   0.299  -0.138  -0.070   1.4078375167   0.4094299108 166.1634099518 5
1621308185.00 2158.00000 185003.00   22 19 02.73509  114 10 06.41785        7.686   0.000  -0.005   0.001   0.372   0.105   0.029   1.4097511958   0.4119108181 166.1629515856 5
1621308186.00 2158.00000 185004.00   22 19 02.73509  114 10 06.41784        7.686  -0.004  -0.004   0.002  -0.297   0.052   0.045   1.4107596015   0.4138302267 166.1626937546 5
1621308187.00 2158.00000 185005.00   22 19 02.73509  114 10 06.41784        7.686  -0.005  -0.000   0.001  -0.321   0.032  -0.005   1.4094819056   0.4128848463 166.1624588419 5
1621308188.00 2158.00000 185006.00   22 19 02.73509  114 10 06.41783        7.686   0.000  -0.001   0.002  -0.379  -0.183  -0.099   1.4116877931   0.4090345699 166.1623442503 5
1621308189.00 2158.00000 185007.00   22 19 02.73509  114 10 06.41783        7.686   0.001  -0.000   0.003   0.009  -0.055  -0.149   1.4097225479   0.4131942435 166.1627281320 5
1621308190.00 2158.00000 185008.00   22 19 02.73509  114 10 06.41782        7.686  -0.001   0.003   0.004  -0.457  -0.070   0.050   1.4106908465   0.4107591729 166.1622239292 4
1621308191.00 2158.00000 185009.00   22 19 02.73509  114 10 06.41781        7.686   0.002   0.003   0.002  -0.528  -0.130  -0.024   1.4138249257   0.4119738434 166.1634099518 4
1621308192.00 2158.00000 185010.00   22 19 02.73509  114 10 06.41781        7.686  -0.000   0.003   0.002   0.410  -0.214  -0.004   1.4105361479   0.4115785026 166.1620062052 4
1621308193.00 2158.00000 185011.00   22 19 02.73509  114 10 06.41780        7.686  -0.000   0.004   0.001   0.396   0.184   0.064   1.4104960409   0.4139390887 166.1632036870 4
1621308194.00 2158.00000 185012.00   22 19 02.73509  114 10 06.41780        7.686  -0.001   0.005   0.001  -0.147  -0.210  -0.032   1.4125185819   0.4107935504 166.1624473827 3
1621308195.00 2158.00000 185013.00   22 19 02.73509  114 10 06.41779        7.686   0.001   0.002  -0.004  -0.541  -0.011  -0.020   1.4157959005   0.4092007277 166.1625963517 3
1621308196.00 2158.00000 185014.00   22 19 02.73510  114 10 06.41779        7.686   0.003   0.003  -0.001  -0.496  -0.212  -0.106   1.4093157478   0.4079173022 166.1631578504 3
1621308197.00 2158.00000 185015.00   22 19 02.73510  114 10 06.41778        7.686   0.003  -0.000  -0.002  -0.433   0.071  -0.002   1.4134123961   0.4088397643 166.1629286673 3
1621308198.00 2158.00000 185016.00   22 19 02.73509  114 10 06.41778        7.686   0.004  -0.003  -0.002  -0.267  -0.053  -0.112   1.4100605930   0.4109940856 166.1639026955 3
1621308199.00 2158.00000 185017.00   22 19 02.73502  114 10 06.41786        7.689   0.004   0.000  -0.002  -0.477  -0.125   0.013   1.4138077370   0.4120196801 166.1629057489 3
1621308200.00 2158.00000 185018.00   22 19 02.73489  114 10 06.41809        7.698   0.002  -0.003  -0.003  -0.444   0.098  -0.063   1.4110632691   0.4106674997 166.1609519629 3
1621308201.00 2158.00000 185019.00   22 19 02.73481  114 10 06.41828        7.705  -0.001  -0.005  -0.004  -0.372  -0.211  -0.123   1.4106507395   0.4092236460 166.1606368361 3
1621308202.00 2158.00000 185020.00   22 19 02.73471  114 10 06.41849        7.711  -0.001  -0.003  -0.010  -0.495  -0.076  -0.047   1.4134983397   0.4101575672 166.1620004756 3
1621308203.00 2158.00000 185021.00   22 19 02.73461  114 10 06.41869        7.715   0.003  -0.010  -0.005  -0.576  -0.037  -0.156   1.4104960409   0.4155261818 166.1620291235 2
1621308204.00 2158.00000 185022.00   22 19 02.73452  114 10 06.41887        7.715   0.002  -0.008  -0.005  -0.451  -0.020  -0.004   1.4106106325   0.4173424580 166.1614790840 2
1621308205.00 2158.00000 185023.00   22 19 02.73444  114 10 06.41904        7.715   0.000  -0.007  -0.003  -0.374   0.073  -0.079   1.4097397366   0.4189295511 166.1615020023 2
1621308206.00 2158.00000 185024.00   22 19 02.73437  114 10 06.41919        7.715   0.000  -0.008  -0.005  -0.493  -0.131  -0.023   1.4089605140   0.4187805820 166.1614905432 2
1621308207.00 2158.00000 185025.00   22 19 02.73443  114 10 06.41930        7.711  -0.001  -0.007  -0.007  -0.573   0.017  -0.062   1.4094589873   0.4205338329 166.1600237712 2
1621308208.00 2158.00000 185026.00   22 19 02.73185  114 10 06.41995        7.700   0.004   0.297  -0.016  -0.038   0.689  -0.111   1.4621882932   0.5473122042 166.1441986769 2
1621308209.00 2158.00000 185027.00   22 19 02.70979  114 10 06.42491        7.691   0.072   1.331  -0.027   0.029   1.580  -0.147   1.6011935839   0.7275761857 166.2101690375 2
1621308210.00 2158.00000 185028.00   22 19 02.64499  114 10 06.43845        7.672   0.125   2.613  -0.051  -0.013   1.171  -1.106   1.5782981904   0.3864485737 167.8613932960 2
1621308211.00 2158.00000 185029.00   22 19 02.54593  114 10 06.44844        7.626   0.129   3.445   0.001   2.361   0.263  -2.191   0.9297729916   0.2439596996 176.0122908895 3
1621308212.00 2158.00000 185030.00   22 19 02.43660  114 10 06.42669        7.565   0.402   3.378  -0.018   2.086  -0.520   0.325   0.4495656044  -0.6038917865 -163.522149412 3
1621308213.00 2158.00000 185031.00   22 19 02.34901  114 10 06.35745        7.513   0.279   3.425  -0.034   0.700  -0.292  -0.313   0.3761009559   0.6016114145 -136.702275771 3
1621308214.00 2158.00000 185032.00   22 19 02.28858  114 10 06.25279        7.501   0.239   3.624  -0.010   1.697  -0.148  -0.097  -0.0413962007   0.1043528032 -116.849735077 3
1621308215.00 2158.00000 185033.00   22 19 02.25651  114 10 06.13062        7.487   0.174   3.528  -0.041   0.840   0.643   0.237   0.1868587257   0.4726156965 -104.037229944 3
1621308216.00 2158.00000 185034.00   22 19 02.23666  114 10 06.01194        7.502   0.132   3.323  -0.000  -0.688  -0.468  -0.443   0.5913841178   0.0792286039 -101.301379390 3
1621308217.00 2158.00000 185035.00   22 19 02.22042  114 10 05.90788        7.503   0.104   2.687  -0.009  -0.397  -0.686   0.005   0.9214994811  -0.4681695440 -101.073852120 2
1621308218.00 2158.00000 185036.00   22 19 02.20877  114 10 05.83330        7.518   0.069   1.676  -0.021  -0.301  -0.364   0.424   1.1202929177  -0.0762893304 -101.127492429 2
1621308219.00 2158.00000 185037.00   22 19 02.20106  114 10 05.78125        7.520   0.045   1.327  -0.001   0.068   0.394  -0.073   1.2478275933   0.4960382111 -101.157658657 2
1621308220.00 2158.00000 185038.00   22 19 02.19460  114 10 05.73995        7.536   0.024   1.040   0.003   0.190  -0.444   0.087   0.8800173367   0.6973182846 -101.129022226 2
1621308221.00 2158.00000 185039.00   22 19 02.19033  114 10 05.70976        7.551   0.018   0.715   0.010   0.524  -0.308  -0.014   0.8337853722   0.4232381937 -101.036420787 2
1621308222.00 2158.00000 185040.00   22 19 02.18827  114 10 05.69109        7.568   0.020   0.352   0.016  -0.188  -0.372   0.012   1.0485070355   0.1309093970 -100.963976004 2
1621308223.00 2158.00000 185041.00   22 19 02.18792  114 10 05.68383        7.589  -0.005   0.081   0.015   0.032  -0.058   0.028   1.0559554868  -0.0018793016 -100.930864773 2
1621308224.00 2158.00000 185042.00   22 19 02.18866  114 10 05.68246        7.610   0.003  -0.016   0.018  -0.373   0.085  -0.005   1.0134534776  -0.0318392647 -100.922396457 2
1621308225.00 2158.00000 185043.00   22 19 02.18994  114 10 05.68233        7.632   0.003  -0.011   0.016   0.522   0.050   0.040   1.0109381929  -0.0305672984 -100.921571397 2
1621308226.00 2158.00000 185044.00   22 19 02.19152  114 10 05.68193        7.651   0.000  -0.005   0.015  -0.566   0.030   0.017   1.0107491168  -0.0316673773 -100.922740231 2
1621308227.00 2158.00000 185045.00   22 19 02.19302  114 10 05.68150        7.666   0.001  -0.005   0.015   0.405   0.066   0.032   1.0101761590  -0.0304297885 -100.923129843 2
1621308228.00 2158.00000 185046.00   22 19 02.19308  114 10 05.68161        7.645  -0.001  -0.006   0.015  -0.472   0.045   0.025   1.0111444577  -0.0314725717 -100.923393403 2
1621308229.00 2158.00000 185047.00   22 19 02.19307  114 10 05.68161        7.645   0.000  -0.004   0.011   0.440  -0.022   0.165   1.0102048069  -0.0306074054 -100.923181409 2
1621308230.00 2158.00000 185048.00   22 19 02.19307  114 10 05.68161        7.645   0.002  -0.003   0.011  -0.352   0.034  -0.028   1.0107663055  -0.0297193208 -100.924315865 2
1621308231.00 2158.00000 185049.00   22 19 02.19306  114 10 05.68162        7.645   0.005  -0.000   0.010  -0.056  -0.015  -0.085   1.0104511788  -0.0284817320 -100.924630992 2
1621308232.00 2158.00000 185050.00   22 19 02.19305  114 10 05.68162        7.645   0.002   0.002   0.009   0.438   0.032   0.031   1.0127945761  -0.0273300868 -100.925232598 2
1621308233.00 2158.00000 185051.00   22 19 02.19305  114 10 05.68163        7.645   0.003  -0.000   0.005   0.320   0.025   0.018   1.0109210042  -0.0215489427 -100.925541995 2
1621308234.00 2158.00000 185052.00   22 19 02.19304  114 10 05.68163        7.645  -0.002   0.007   0.009   0.144   0.087  -0.089   1.0172579174  -0.0144385364 -100.925381567 3
1621308235.00 2158.00000 185053.00   22 19 02.19303  114 10 05.68164        7.645  -0.001   0.003   0.005   0.545   0.015   0.054   1.0141696748  -0.0201910327 -100.926561860 3
1621308236.00 2158.00000 185054.00   22 19 02.19303  114 10 05.68164        7.645  -0.003   0.005   0.006   0.187   0.062   0.019   1.0128232240  -0.0172173817 -100.926017550 3
1621308237.00 2158.00000 185055.00   22 19 02.19302  114 10 05.68165        7.645   0.000   0.001   0.005   0.543   0.094   0.020   1.0138889255  -0.0198357989 -100.927432756 3
1621308238.00 2158.00000 185056.00   22 19 02.19301  114 10 05.68165        7.645   0.001  -0.001   0.003   0.126   0.074  -0.051   1.0142212411  -0.0201681144 -100.928647426 4
1621308239.00 2158.00000 185057.00   22 19 02.19300  114 10 05.68166        7.645   0.000  -0.000   0.002   0.009  -0.116  -0.036   1.0125825818  -0.0219729314 -100.929512592 4
1621308240.00 2158.00000 185058.00   22 19 02.19300  114 10 05.68166        7.645  -0.000  -0.000   0.000  -0.394   0.069  -0.042   1.0126627958  -0.0207353426 -100.929976688 4
